Season,Player,Age_x,Tm_x,Pos_x,GP_x,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,Age_y,Tm_y,Pos_y,GP_y,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,SAtt.,Thru%,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct
2008,Paul Gaustad,26,BUF,C,62,12,17,29,4,108,2.7,8,3,1,1,12,5,0,122,9.8,999,16:06:00,39,141,452,406,52.7,26,BUF,C,62,632,627,50.2,-2.4,502,475,51.4,-2.1,8,92.1,100,49.5,50.5,16:06:00,11:55:00,11,20,183,66.7,0,0,0,0.0
2008,Denis Gauthier,32,LAK,D,65,2,2,4,-11,90,1.3,2,0,0,0,2,0,0,36,5.6,945,14:32:00,104,182,0,0,,32,LAK,D,65,676,697,49.2,-4.2,520,531,49.5,-4,6.8,90.1,97,47.7,52.3,14:32:00,11:47:00,10,35,101,35.6,0,0,0,0.0
2008,Nathan Gerbe,21,BUF,C,10,0,1,1,3,4,0,0,0,0,0,0,1,0,24,0,136,13:37:00,0,11,1,0,100,21,BUF,C,10,108,80,57.4,10,82,65,55.8,10.1,6.3,97.6,104,58.5,41.5,13:37:00,11:35:00,4,6,38,63.2,0,0,0,0.0
2008,Bruno Gervais,24,NYI,D,69,3,16,19,-15,33,2.9,3,0,0,1,12,3,1,82,3.7,1490,21:36:00,115,83,0,1,0,24,NYI,D,69,1114,1300,46.1,-4.1,798,970,45.1,-6.5,7,91.8,98.8,44.7,55.3,21:35:00,17:21:00,59,39,191,42.9,0,0,0,0.0
2008,Ryan Getzlaf,23,ANA,C,81,25,66,91,5,121,9.2,16,9,0,2,38,28,0,227,11,1631,20:08:00,43,134,566,562,50.2,23,ANA,C,81,1339,981,57.7,7.2,1045,809,56.4,5.5,9.2,90.3,99.5,57.7,42.3,20:08:00,15:37:00,55,70,392,57.9,9,5,4,55.6
2008,Tom Gilbert,26,EDM,D,82,5,40,45,6,26,6.9,3,2,0,1,25,14,1,107,4.7,1802,21:58:00,136,47,0,0,,26,EDM,D,82,1234,1309,48.5,1.1,936,997,48.4,1,9.9,91.4,101.3,48.4,51.6,21:57:00,16:25:00,40,70,212,50.5,1,0,1,0.0
2008,Hal Gill,33,PIT,D,62,2,8,10,11,53,2.7,2,0,0,0,8,0,0,40,5,1109,17:54:00,112,78,0,0,,33,PIT,D,62,799,856,48.3,-0.2,595,612,49.3,-0.4,10.1,92.5,102.7,44.7,55.3,17:54:00,14:40:00,12,45,113,35.4,0,0,0,0.0
2008,Colton Gillies,19,MIN,C,45,2,5,7,-2,18,0.4,2,0,0,1,4,1,0,22,9.1,370,08:14:00,9,55,1,1,50,19,MIN,C,45,239,336,41.6,-8.7,174,251,40.9,-9.8,6.9,94,100.9,43.9,56.1,08:14:00,07:49:00,7,11,49,44.9,0,0,0,0.0
2008,Brian Gionta,30,NJD,RW,81,20,40,60,12,32,6.3,14,3,3,1,31,8,1,248,8.1,1374,16:58:00,28,44,51,81,38.6,30,NJD,RW,81,1074,894,54.6,2.2,812,679,54.5,1.9,9.3,91.3,100.7,52,48,16:58:00,13:31:00,28,25,431,57.5,2,0,2,0.0
2008,Mark Giordano,25,CGY,D,58,2,17,19,2,59,3.1,0,2,0,0,13,4,0,82,2.4,940,16:13:00,38,54,0,0,,25,CGY,D,58,836,559,59.9,5,622,452,57.9,4.7,8.6,90.3,98.9,64.7,35.3,15:51:00,12:33:00,20,10,177,46.3,0,0,0,0.0
2008,Dan Girardi,24,NYR,D,82,4,18,22,-14,53,4.5,2,2,0,1,13,5,0,122,3.3,1765,21:32:00,82,207,0,0,,24,NYR,D,82,1400,1235,53.1,-0.3,1049,967,52,-1.4,5.8,92.4,98.2,55.3,44.7,21:32:00,16:36:00,40,31,308,39.6,0,0,0,0.0
2008,Alexandre Giroux,27,WSH,LW,12,1,1,2,4,10,0.2,1,0,0,1,1,0,0,20,5,127,10:34:00,2,22,0,1,0,27,WSH,LW,12,120,96,55.6,5.3,93,71,56.7,5.8,7.2,97.9,105.2,58.9,41.1,10:34:00,09:33:00,6,3,37,51.4,0,0,0,0.0
2008,Claude Giroux,21,PHI,RW,42,9,18,27,10,14,3.1,7,2,0,0,14,4,0,67,13.4,637,15:10:00,18,41,146,163,47.2,21,PHI,RW,42,525,500,51.2,2,401,375,51.7,2.2,9.4,93.4,102.8,52.4,47.6,15:10:00,12:58:00,33,22,124,54,2,0,2,0.0
2008,Tanner Glass,25,FLA,LW,3,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,20,06:45:00,1,5,1,0,100,25,FLA,LW,3,6,28,17.6,,4,18,18.2,,0,100,100,38.9,61.1,06:45:00,06:45:00,0,0,1,100,0,0,0,0.0
2008,Tim Gleason,26,CAR,D,70,0,12,12,3,68,3.2,0,0,0,0,10,1,1,61,0,1447,20:40:00,133,171,0,0,,26,CAR,D,70,1161,1200,49.2,-4.5,876,918,48.8,-5.6,7.6,92.4,100,47.9,52.1,20:40:00,17:25:00,26,23,148,41.2,0,0,0,0.0
2008,Curtis Glencross,26,CGY,LW,74,13,27,40,14,42,4,11,1,1,3,23,4,0,152,8.6,1086,14:41:00,29,123,26,28,48.1,26,CGY,LW,74,958,667,59,3.6,725,548,57,3.4,9.4,91.4,100.9,53.4,46.6,14:29:00,11:49:00,34,26,245,60.4,0,0,0,0.0
2008,Marcel Goc,25,SJS,C,55,2,9,11,-6,18,-0.1,2,0,0,1,9,0,0,104,1.9,765,13:55:00,17,83,332,238,58.2,25,SJS,C,55,569,467,54.9,-0.7,443,363,55,-1.2,5.2,91.7,96.9,49,51,13:55:00,12:13:00,29,20,174,59.8,0,0,0,0.0
2008,Eric Godard,28,PIT,RW,71,2,2,4,-3,171,-0.1,2,0,0,0,2,0,0,20,10,289,04:04:00,12,37,1,0,100,28,PIT,RW,71,184,268,40.7,-7.2,132,196,40.2,-9.1,6.6,93.7,100.3,47.8,52.2,04:04:00,04:03:00,2,3,34,58.8,0,0,0,0.0
2008,Steven Goertzen,24,PHX,RW,16,2,2,4,-2,24,0.3,2,0,0,0,2,0,0,18,11.1,155,09:42:00,7,33,1,1,50,24,PHX,RW,16,101,118,46.1,0.7,79,89,47,3.3,7.7,89.1,96.8,47.6,52.4,09:42:00,08:51:00,5,1,25,72,0,0,0,0.0
2008,Alex Goligoski,23,PIT,D,45,6,14,20,5,16,3.6,2,4,0,0,10,4,0,61,9.8,824,18:18:00,49,30,0,0,,23,PIT,D,45,593,541,52.3,8.1,433,372,53.8,8.1,11,90.1,101.1,53.9,46.1,18:18:00,14:14:00,9,24,138,44.2,2,1,1,50.0
2008,Scott Gomez,29,NYR,C,77,16,42,58,-2,60,5.3,12,3,1,7,28,14,0,271,5.9,1622,21:04:00,23,61,687,625,52.4,29,NYR,C,77,1396,1061,56.8,5.6,1038,819,55.9,4.2,6.7,91.6,98.3,58.1,41.9,21:03:00,15:41:00,57,41,429,63.2,2,0,2,0.0
2008,Sergei Gonchar,34,PIT,D,25,6,13,19,6,26,3.4,1,5,0,1,5,8,0,71,8.5,630,1900-01-01 01:11:00,38,25,0,0,,34,PIT,D,25,377,397,48.7,-5.8,290,305,48.7,-8.6,12.3,91.7,104,53.8,46.2,1900-01-01 01:11:00,16:15:00,10,15,138,51.4,0,0,0,0.0
2008,Andrew Gordon,23,WSH,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,07:12:00,0,1,0,0,,23,WSH,RW,1,4,8,33.3,,3,7,30,,0,100,100,100,0,07:12:00,07:12:00,0,0,3,33.3,0,0,0,0.0
2008,Boyd Gordon,25,WSH,C,63,5,9,14,-4,16,0.2,4,0,1,2,9,0,0,69,7.2,848,13:28:00,43,33,374,293,56.1,25,WSH,C,63,455,525,46.4,-9.8,323,368,46.7,-8.4,7.3,91.8,99,40.5,59.5,13:27:00,09:41:00,32,14,113,61.1,1,0,1,0.0
2008,Josh Gorges,24,MTL,D,81,4,19,23,12,37,5.3,2,2,0,0,15,3,1,63,6.3,1630,20:08:00,161,94,0,1,0,24,MTL,D,81,1141,1223,48.3,1.2,845,910,48.1,1.4,10.5,91.8,102.3,48.7,51.3,20:08:00,15:53:00,25,56,166,38,0,0,0,0.0
2008,Mikhail Grabovski,25,TOR,C,78,20,28,48,-8,92,4.2,14,6,0,2,19,9,0,120,16.7,1265,16:13:00,30,45,418,524,44.4,25,TOR,C,78,1056,979,51.9,0.5,779,717,52.1,1,7.7,90.4,98.1,53,47,15:58:00,13:36:00,50,62,251,46.6,3,1,2,33.3
2008,Marc-Andre Gragnani,21,BUF,D,4,0,0,0,2,2,0.2,0,0,0,0,0,0,0,3,0,62,15:23:00,3,3,0,0,,21,BUF,D,4,46,51,47.4,,39,45,46.4,,13.3,93.8,107.1,71.4,28.6,15:23:00,13:10:00,2,0,7,42.9,0,0,0,0.0
2008,Chris Gratton,33,TOT,C,24,0,3,3,-1,12,-0.2,0,0,0,0,3,0,0,20,0,253,10:32:00,4,37,134,95,58.5,33,TOT,C,24,149,184,44.7,-4.2,117,145,44.7,-4.9,5.9,94.8,100.7,30.9,69.1,10:32:00,08:22:00,12,6,33,60.6,0,0,0,0.0
2008,Chris Gratton,33,TBL,C,18,0,2,2,-3,10,-0.3,0,0,0,0,2,0,0,16,0,194,10:48:00,2,33,112,68,62.2,33,TOT,C,24,149,184,44.7,-4.2,117,145,44.7,-4.9,5.9,94.8,100.7,30.9,69.1,10:32:00,08:22:00,12,6,33,60.6,0,0,0,0.0
2008,Chris Gratton,33,CBJ,C,6,0,1,1,2,2,0.1,0,0,0,0,1,0,0,4,0,59,09:46:00,2,4,22,27,44.9,33,TOT,C,24,149,184,44.7,-4.2,117,145,44.7,-4.9,5.9,94.8,100.7,30.9,69.1,10:32:00,08:22:00,12,6,33,60.6,0,0,0,0.0
2008,Josh Gratton,26,PHI,LW,19,1,2,3,-2,57,0.1,1,0,0,0,2,0,0,14,7.1,119,06:14:00,0,20,0,0,,26,PHI,LW,19,70,100,41.2,-8.4,52,73,41.6,-9.7,12.2,86.5,98.7,68.8,31.3,06:14:00,06:10:00,2,4,22,63.6,0,0,0,0.0
2008,Denis Grebeshkov,25,EDM,D,72,7,32,39,12,38,6.8,5,2,0,0,21,11,0,62,11.3,1524,21:10:00,87,46,0,0,,25,EDM,D,72,1122,1094,50.6,3.5,810,821,49.7,2.4,11.1,91.7,102.8,48.5,51.5,21:10:00,16:18:00,31,64,139,44.6,0,0,0,0.0
2008,Mike Green,23,WSH,D,68,31,42,73,24,68,13.9,12,18,1,4,22,20,0,243,12.8,1752,1900-01-01 01:46:00,110,86,0,0,,23,WSH,D,68,1469,1094,57.3,2.2,1062,845,55.7,-0.5,9.7,92.2,101.9,62.9,37.1,1900-01-01 01:46:00,17:55:00,49,95,465,52.3,0,0,0,0.0
2008,Andy Greene,26,NJD,D,49,2,7,9,3,22,2,2,0,0,0,7,0,0,38,5.3,798,16:17:00,63,37,0,0,,26,NJD,D,49,631,619,50.5,-6.6,487,489,49.9,-8.6,6.3,94.9,101.2,52.7,47.3,16:17:00,14:22:00,13,18,106,35.8,0,0,0,0.0
2008,Matt Greene,25,LAK,D,82,2,12,14,1,111,4.5,2,0,0,0,11,1,0,76,2.6,1619,19:44:00,167,202,1,0,100,25,LAK,D,82,1188,1144,50.9,-2.5,897,850,51.3,-2.1,7.5,92.4,99.9,47.3,52.7,19:43:00,16:31:00,11,60,182,41.8,0,0,0,0.0
2008,Kyle Greentree,25,CGY,LW,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,3,0,19,09:18:00,1,1,0,0,,25,CGY,LW,2,12,19,38.7,-15.1,10,14,41.7,-7.5,0,88.9,88.9,40,60,09:18:00,07:40:00,0,0,5,60,0,0,0,0.0
2008,Mike Grier,34,SJS,RW,62,10,13,23,8,25,2.2,9,0,1,2,10,0,3,108,9.3,930,15:00:00,34,147,15,28,34.9,34,SJS,RW,62,670,645,51,-6.3,533,474,52.9,-5.1,6.6,94,100.5,48.7,51.3,15:00:00,12:15:00,16,28,174,62.1,0,0,0,0.0
2008,Nicklas Grossmann,24,DAL,D,81,2,10,12,-8,51,2.1,2,0,0,1,10,0,0,60,3.3,1429,17:39:00,100,178,0,0,,24,DAL,D,81,947,1041,47.6,-6.3,742,806,47.9,-6.9,8.4,90.7,99.1,46.3,53.7,17:38:00,15:06:00,25,47,140,42.9,0,0,0,0.0
2008,Nate Guenin,26,PHI,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,13:25:00,1,0,0,0,,26,PHI,D,1,7,11,38.9,,4,10,28.6,,0,100,100,60,40,13:25:00,13:25:00,0,0,0,,0,0,0,0.0
2008,Bill Guerin,38,TOT,RW,78,21,27,48,-12,81,4.5,16,5,0,4,14,13,0,226,9.3,1300,16:40:00,29,72,30,34,46.9,38,TOT,RW,78,945,1040,47.6,-3.1,692,760,47.7,-3.3,8.4,90.3,98.7,55.2,44.8,16:39:00,12:38:00,32,36,387,58.7,2,1,1,50.0
2008,Bill Guerin,38,NYI,RW,61,16,20,36,-15,63,3.1,11,5,0,3,11,9,0,181,8.8,1050,17:13:00,27,59,27,34,44.3,38,TOT,RW,78,945,1040,47.6,-3.1,692,760,47.7,-3.3,8.4,90.3,98.7,55.2,44.8,16:39:00,12:38:00,32,36,387,58.7,2,1,1,50.0
2008,Bill Guerin,38,PIT,RW,17,5,7,12,3,18,1.4,5,0,0,1,3,4,0,45,11.1,250,14:44:00,2,13,3,0,100,38,TOT,RW,78,945,1040,47.6,-3.1,692,760,47.7,-3.3,8.4,90.3,98.7,55.2,44.8,16:39:00,12:38:00,32,36,387,58.7,2,1,1,50.0
2008,Ben Guite,30,COL,RW,50,5,7,12,2,30,0.9,5,0,0,1,7,0,0,63,7.9,636,12:43:00,32,88,286,269,51.5,30,COL,RW,50,409,455,47.3,-2.5,317,331,48.9,-2.4,8,92.4,100.4,43.5,56.5,12:43:00,10:10:00,20,10,107,58.9,0,0,0,0.0
2008,Niklas Hagman,29,TOR,LW,65,22,20,42,-5,4,4.2,16,6,0,3,13,7,0,168,13.1,1110,17:05:00,24,22,0,1,0,29,TOR,LW,65,854,825,50.9,-2.2,630,631,50,-3.5,8.4,90.3,98.8,55.6,44.4,16:46:00,13:18:00,31,34,285,57.5,5,1,4,20.0
2008,Ron Hainsey,27,ATL,D,81,6,33,39,-16,32,4.2,2,4,0,0,19,14,0,148,4.1,1812,22:22:00,127,60,0,0,,27,ATL,D,81,1046,1186,46.9,-1.6,820,913,47.3,-1.4,7.9,91.3,99.2,43.5,56.5,22:21:00,15:41:00,42,45,314,47.1,0,0,0,0.0
2008,David Hale,27,PHX,D,48,3,6,9,-11,36,1.2,3,0,0,0,6,0,0,22,13.6,727,15:08:00,33,85,0,0,,27,PHX,D,48,474,644,42.4,-3.7,361,502,41.8,-4.8,9.7,89.5,99.2,34.5,65.5,15:08:00,13:11:00,6,16,58,37.9,0,0,0,0.0
2008,Matt Halischuk,20,NJD,RW,1,0,1,1,-1,0,0,0,0,0,0,1,0,0,0,,10,09:47:00,0,0,0,0,,20,NJD,RW,1,1,23,4.2,-48.2,1,17,5.6,-44.4,100,84.6,184.6,50,50,09:47:00,09:47:00,0,0,0,,0,0,0,0.0
2008,Adam Hall,28,TBL,RW,74,5,5,10,-9,29,-0.3,4,1,0,0,4,1,0,90,5.6,829,11:12:00,37,85,169,169,50,28,TBL,RW,74,483,532,47.6,-0.9,379,407,48.2,0.1,4.1,93.1,97.3,33.6,66.4,11:12:00,08:31:00,18,6,141,62.4,1,1,0,100.0
2008,Jeff Halpern,32,TBL,C,52,7,9,16,-13,32,0.2,5,1,1,1,6,3,0,60,11.7,885,17:01:00,39,28,434,388,52.8,32,TBL,C,52,458,567,44.7,-5.8,336,421,44.4,-6.1,7.7,89.2,96.9,37.1,62.9,16:59:00,11:49:00,18,15,116,51.7,0,0,0,0.0
2008,Dan Hamhuis,26,NSH,D,82,3,23,26,-4,67,5.1,1,1,1,1,17,5,1,135,2.2,1873,22:50:00,113,133,0,0,,26,NSH,D,82,1196,1359,46.8,-4.6,915,1011,47.5,-3,7.8,91.7,99.4,41.7,58.3,22:49:00,17:38:00,63,52,246,54.9,0,0,0,0.0
2008,Jeff Hamilton,31,TOR,RW,15,3,3,6,2,4,0.6,3,0,0,1,3,0,0,30,10,194,12:57:00,5,6,3,8,27.3,31,TOR,RW,15,159,183,46.5,-4.7,121,136,47.1,-4.8,10,92.9,102.9,53.3,46.7,12:57:00,10:52:00,6,7,59,50.8,2,2,0,100.0
2008,Roman Hamrlik,34,MTL,D,81,6,27,33,4,62,6,6,0,0,0,21,3,3,143,4.2,1775,21:55:00,195,104,0,0,,34,MTL,D,81,1291,1452,47.1,-0.9,953,1063,47.3,0,8.8,92.2,101,45.8,54.2,21:54:00,17:22:00,41,78,264,54.2,0,0,0,0.0
2008,Michal Handzus,31,LAK,C,82,18,24,42,-7,32,3.9,10,7,1,4,14,9,1,143,12.6,1550,18:54:00,69,75,719,601,54.5,31,LAK,C,82,819,915,47.2,-6.6,612,693,46.9,-7.1,7.9,92,100,43.4,56.6,18:54:00,12:09:00,28,51,224,63.8,1,0,1,0.0
2008,Scott Hannan,30,COL,D,81,1,9,10,-21,26,2.1,1,0,0,0,9,0,0,70,1.4,1812,22:22:00,162,56,0,1,0,30,COL,D,81,1134,1499,43.1,-7,846,1100,43.5,-8.4,7.1,91.2,98.3,39.9,60.1,22:22:00,18:11:00,28,36,143,49,0,0,0,0.0
2008,Jannik Hansen,22,VAN,RW,55,6,15,21,5,37,1.7,6,0,0,1,14,0,1,64,9.4,688,12:31:00,20,25,2,10,16.7,22,VAN,RW,55,514,507,50.3,2.6,392,389,50.2,2.5,12.2,89.3,101.6,42.2,57.8,12:31:00,10:36:00,18,12,125,51.2,0,0,0,0.0
2008,Christian Hanson,22,TOR,C,5,1,1,2,-1,2,0.1,1,0,0,0,1,0,0,9,11.1,82,16:19:00,1,3,1,3,25,22,TOR,C,5,78,69,53.1,4.1,58,56,50.9,4.1,5.6,91.7,97.2,55.9,44.1,16:19:00,13:21:00,1,4,21,42.9,0,0,0,0.0
2008,Martin Hanzal,21,PHX,C,74,11,20,31,-4,40,2.2,9,0,2,2,17,2,1,97,11.3,1210,16:21:00,45,130,516,550,48.4,21,PHX,C,74,737,843,46.6,0.7,555,637,46.6,0.9,8.4,91,99.4,36.6,63.4,16:13:00,12:41:00,26,15,175,54.9,0,0,0,0.0
2008,Jay Harrison,26,TOR,D,7,0,1,1,-2,10,0,0,0,0,0,1,0,0,6,0,121,17:16:00,8,8,0,0,,26,TOR,D,7,115,103,52.8,3.5,87,77,53,5.4,7.5,87.7,95.3,50,50,17:16:00,14:43:00,2,3,31,19.4,0,0,0,0.0
2008,Peter Harrold,25,LAK,D,69,4,8,12,-13,28,2.2,3,1,0,1,4,4,0,95,4.2,909,13:10:00,37,36,6,10,37.5,25,LAK,D,69,608,604,50.2,-1.7,477,463,50.7,-1.1,3.8,92.3,96.1,56.8,43.2,13:10:00,10:13:00,10,23,174,54.6,0,0,0,0.0
2008,Scott Hartnell,26,PHI,LW,82,30,30,60,14,143,7.5,23,6,1,5,23,7,0,210,14.3,1460,17:48:00,36,104,18,18,50,26,PHI,LW,82,1105,1233,47.3,-2.6,838,913,47.9,-3.2,10.4,92.5,102.9,43.5,56.5,17:48:00,13:43:00,41,78,332,63.3,1,0,1,0.0
2008,Niclas Havelid,35,TOT,D,78,2,17,19,2,48,3.1,1,0,1,0,11,5,1,56,3.6,1613,20:40:00,190,41,0,0,,35,TOT,D,78,982,1287,43.3,-9.9,747,957,43.8,-8.7,10.3,91.8,102.1,43.4,56.6,20:40:00,16:44:00,37,30,121,46.3,0,0,0,0.0
2008,Niclas Havelid,35,ATL,D,63,2,13,15,4,42,2.6,1,0,1,0,10,2,1,41,4.9,1317,20:54:00,164,36,0,0,,35,TOT,D,78,982,1287,43.3,-9.9,747,957,43.8,-8.7,10.3,91.8,102.1,43.4,56.6,20:40:00,16:44:00,37,30,121,46.3,0,0,0,0.0
2008,Niclas Havelid,35,NJD,D,15,0,4,4,-2,6,0.5,0,0,0,0,1,3,0,15,0,296,19:43:00,26,5,0,0,,35,TOT,D,78,982,1287,43.3,-9.9,747,957,43.8,-8.7,10.3,91.8,102.1,43.4,56.6,20:40:00,16:44:00,37,30,121,46.3,0,0,0,0.0
2008,Martin Havlat,27,CHI,RW,81,29,48,77,29,30,9.5,24,5,0,5,39,9,0,249,11.6,1410,17:25:00,12,19,2,6,25,27,CHI,RW,81,1102,799,58,3.8,904,641,58.5,4.9,11.4,90.3,101.7,55.6,44.4,17:24:00,14:01:00,30,16,352,70.7,3,0,3,0.0
2008,Dany Heatley,28,OTT,LW,82,39,33,72,-11,88,8.8,24,15,0,6,22,11,0,258,15.1,1649,20:07:00,24,87,14,16,46.7,28,OTT,LW,82,1221,1164,51.2,1.6,918,874,51.2,0.8,9.3,89.1,98.5,53.9,46.1,20:01:00,15:33:00,42,45,461,56,3,0,3,0.0
2008,Jochen Hecht,31,BUF,C,70,12,15,27,-9,33,1.6,8,3,1,1,11,2,2,173,6.9,1218,17:24:00,38,29,235,303,43.7,31,BUF,C,70,887,863,50.7,-0.1,693,658,51.3,0.5,6.1,90.6,96.7,46.7,53.3,17:16:00,13:51:00,30,37,261,66.3,0,0,0,0.0
2008,Bret Hedican,38,ANA,D,51,1,5,6,-7,36,0.9,1,0,0,0,3,2,0,40,2.5,832,16:18:00,37,51,0,0,,38,ANA,D,51,701,550,56,5.2,553,448,55.2,3.9,8.1,88.8,96.8,59.4,40.6,16:18:00,14:22:00,6,21,95,42.1,0,0,0,0.0
2008,Jan Hejda,30,CBJ,D,82,3,18,21,23,38,6.1,3,0,0,1,17,0,1,66,4.5,1835,22:23:00,157,168,0,1,0,30,CBJ,D,82,1180,1308,47.4,-8.1,891,967,48,-7.8,10.8,92.1,102.9,42.6,57.4,22:23:00,18:10:00,17,23,176,37.5,0,0,0,0.0
2008,Milan Hejduk,32,COL,RW,82,27,32,59,-19,16,5.8,16,10,1,2,23,9,0,211,12.8,1634,19:56:00,31,30,72,88,45,32,COL,RW,82,1082,1119,49.2,1,820,802,50.6,0.9,8.2,88.6,96.8,47.3,52.7,19:55:00,14:18:00,63,43,351,60.1,13,6,7,46.2
2008,Darren Helm,22,DET,C,16,0,1,1,-7,4,-0.6,0,0,0,0,1,0,0,29,0,199,12:26:00,4,37,74,58,56.1,22,DET,C,16,200,126,61.3,2.9,160,107,59.9,1.1,3.2,88.2,91.4,63,37,12:26:00,11:28:00,10,1,42,69,0,0,0,0.0
2008,Bryan Helmer,36,WSH,D,12,0,3,3,-1,2,0.3,0,0,0,0,2,1,0,8,0,199,16:36:00,22,13,0,0,,36,WSH,D,12,163,141,53.6,-3,125,105,54.3,-0.6,6.9,89.9,96.8,45.9,54.1,16:34:00,13:13:00,6,6,24,33.3,0,0,0,0.0
2008,Dwight Helminen,25,CAR,C,23,1,1,2,-2,0,0,1,0,0,0,1,0,0,15,6.7,157,06:50:00,9,22,61,70,46.6,25,CAR,C,23,137,148,48.1,-3.7,93,106,46.7,-4.4,7.9,89.7,97.6,52.3,47.7,06:50:00,06:39:00,9,2,29,51.7,0,0,0,0.0
2008,Ales Hemsky,25,EDM,RW,72,23,43,66,1,32,6.7,19,4,0,2,16,27,0,185,12.4,1343,18:39:00,35,16,0,4,0,25,EDM,RW,72,990,916,51.9,5.1,736,709,50.9,3.4,8.7,91.8,100.5,50,50,18:38:00,14:16:00,38,76,333,55.6,6,2,4,33.3
2008,Matt Hendricks,27,COL,C,4,0,0,0,1,13,0,0,0,0,0,0,0,0,5,0,34,08:30:00,1,8,0,1,0,27,COL,C,4,29,37,43.9,-8.3,26,21,55.3,2,5,100,105,52.6,47.4,08:30:00,08:28:00,0,1,7,71.4,0,0,0,0.0
2008,Jordan Hendry,24,CHI,D,9,0,0,0,-1,4,0,0,0,0,0,0,0,0,1,0,91,10:06:00,10,4,0,0,,24,CHI,D,9,54,62,46.6,-5.7,39,39,50,-4,6.9,90,96.9,68.8,31.3,10:06:00,08:37:00,1,2,10,10,0,0,0,0.0
2008,Josh Hennessy,23,OTT,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,13:40:00,0,1,2,5,28.6,23,OTT,C,1,12,5,70.6,25.7,8,3,72.7,29.1,0,100,100,33.3,66.7,13:40:00,11:06:00,1,0,0,,0,0,0,0.0
2008,Alex Henry,29,MTL,D,2,0,0,0,-2,10,-0.1,0,0,0,0,0,0,0,0,,13,06:34:00,1,2,0,0,,29,MTL,D,2,7,21,25,-33.5,4,16,20,-44.5,0,84.6,84.6,75,25,06:34:00,06:25:00,0,0,0,,0,0,0,0.0
2008,T.J. Hensick,23,COL,C,61,4,17,21,-7,14,1.2,3,1,0,0,12,5,0,116,3.4,787,12:54:00,22,14,241,269,47.3,23,COL,C,61,559,680,45.1,-2.8,423,501,45.8,-2.7,6.1,92.6,98.7,52.4,47.6,12:54:00,10:34:00,29,23,192,60.4,0,0,0,0.0
2008,Jamie Heward,37,TBL,D,13,0,2,2,-1,4,0.2,0,0,0,0,0,2,0,11,0,154,11:49:00,15,5,0,0,,37,TBL,D,13,105,134,43.9,-6.1,82,107,43.4,-4.5,3.5,96.4,99.9,50,50,11:49:00,09:39:00,0,2,22,50,0,0,0,0.0
2008,Chris Higgins,25,MTL,LW,57,12,11,23,-1,22,2,8,2,2,1,9,2,0,151,7.9,969,17:00:00,39,79,29,28,50.9,25,MTL,LW,57,645,709,47.6,-1.4,464,518,47.3,-0.6,8.9,92.3,101.3,43.3,56.7,16:59:00,12:36:00,40,20,262,57.3,0,0,0,0.0
2008,Andy Hilbert,27,NYI,C,67,11,16,27,-3,22,2.1,9,1,1,0,12,3,1,167,6.6,1082,16:09:00,85,41,71,115,38.2,27,NYI,C,67,807,878,47.9,-1.1,575,619,48.2,-0.8,6.5,92,98.5,43.4,56.6,16:09:00,12:23:00,42,26,296,56.4,0,0,0,0.0
2008,Jack Hillen,23,NYI,D,40,1,5,6,-9,16,0.7,1,0,0,0,4,0,1,47,2.1,608,15:13:00,50,28,0,0,,23,NYI,D,40,465,554,45.6,-3,337,391,46.3,-2.1,6.6,90.5,97.2,46.8,53.2,15:13:00,13:26:00,14,22,89,52.8,0,0,0,0.0
2008,Dan Hinote,32,STL,RW,51,1,4,5,-7,64,-0.5,1,0,0,0,2,1,1,24,4.2,556,10:55:00,29,86,35,39,47.3,32,STL,RW,51,264,400,39.8,-11.7,200,286,41.2,-12.6,9,88.5,97.6,43.7,56.3,10:55:00,08:17:00,11,2,40,60,0,0,0,0.0
2008,Niklas Hjalmarsson,21,CHI,D,21,1,2,3,4,0,1,1,0,0,0,1,0,1,15,6.7,315,14:59:00,22,15,0,0,,21,CHI,D,21,202,191,51.4,-6,154,144,51.7,-4.3,7.3,94.7,101.9,62.4,37.6,14:59:00,13:20:00,7,2,29,51.7,0,0,0,0.0
2008,Shane Hnidy,33,BOS,D,65,3,9,12,6,45,2.7,2,1,0,1,9,0,0,49,6.1,1016,15:38:00,75,46,0,0,,33,BOS,D,65,752,767,49.5,-1.8,555,588,48.6,-2.6,9.5,92.8,102.3,52.3,47.7,15:25:00,13:39:00,8,25,119,41.2,0,0,0,0.0
2008,Jeff Hoggan,30,PHX,RW,4,0,1,1,-1,7,0,0,0,0,0,1,0,0,7,0,48,12:00:00,4,13,0,2,0,30,PHX,RW,4,42,42,50,12.2,32,29,52.5,15,3.4,90.9,94.4,28.6,71.4,12:00:00,11:43:00,1,0,10,70,0,0,0,0.0
